user_id,timestamp,campaign_id,source
user_53,2023-01-27 19:21:05,cmp_B,paid
user_62,2023-01-08 13:47:41,cmp_A,paid
user_146,2023-01-07 16:35:57,cmp_A,paid
user_3,2023-01-30 01:17:25,cmp_A,referral
user_124,2023-01-25 17:54:52,cmp_B,organic
user_122,2023-01-18 17:55:10,cmp_A,organic
user_118,2023-01-16 04:53:47,cmp_A,paid
user_4,2023-01-01 18:46:51,cmp_A,paid
user_69,2023-01-15 13:49:58,cmp_B,paid
user_141,2023-01-26 14:55:37,cmp_B,organic
user_51,2023-01-08 03:24:23,cmp_A,referral
user_1,2023-01-15 23:15:30,cmp_B,paid
user_92,2023-01-05 23:04:13,cmp_B,paid
user_84,2023-01-10 06:13:46,cmp_A,organic
user_64,2023-01-05 05:52:31,cmp_B,organic
user_8,2023-01-29 23:29:38,cmp_A,paid
user_99,2023-01-28 06:46:15,cmp_A,referral
user_162,2023-01-07 23:15:26,cmp_B,organic
user_189,2023-01-05 11:39:12,cmp_B,paid
user_130,2023-01-25 23:29:12,cmp_B,paid
user_94,2023-01-09 11:25:44,cmp_B,paid
user_129,2023-01-29 02:27:30,cmp_A,referral
user_77,2023-01-15 13:09:42,cmp_B,referral
user_153,2023-01-29 17:20:46,cmp_B,organic
user_39,2023-01-06 22:45:37,cmp_B,organic
user_133,2023-01-18 12:42:03,cmp_A,referral
user_125,2023-01-16 04:55:09,cmp_B,referral
user_197,2023-01-07 14:57:38,cmp_B,organic
user_121,2023-01-17 05:35:12,cmp_B,referral
user_108,2023-01-10 08:22:59,cmp_B,organic
user_155,2023-01-22 19:32:28,cmp_B,referral
user_82,2023-01-10 11:07:50,cmp_B,paid
user_176,2023-01-18 11:49:05,cmp_A,referral
user_139,2023-01-09 08:25:16,cmp_B,organic
user_40,2023-01-25 04:30:51,cmp_B,organic
user_119,2023-01-25 20:15:57,cmp_A,organic
user_183,2023-01-03 08:32:16,cmp_A,paid
user_88,2023-01-11 22:41:56,cmp_A,paid
user_35,2023-01-25 15:44:45,cmp_B,paid
user_187,2023-01-03 13:18:45,cmp_B,organic
user_49,2023-01-26 03:57:55,cmp_B,referral
user_16,2023-01-07 13:46:11,cmp_A,organic
user_185,2023-01-21 02:06:17,cmp_A,referral
user_154,2023-01-09 19:45:19,cmp_B,organic
user_171,2023-01-16 06:10:24,cmp_B,paid
user_137,2023-01-25 02:59:05,cmp_B,organic
user_24,2023-01-28 22:07:33,cmp_B,referral
user_131,2023-01-20 13:05:47,cmp_A,organic
user_38,2023-01-26 12:25:42,cmp_B,referral
user_6,2023-01-02 15:13:53,cmp_A,paid
user_95,2023-01-05 15:38:34,cmp_A,paid
user_9,2023-01-14 15:09:35,cmp_A,organic
user_167,2023-01-08 07:39:00,cmp_B,paid
user_145,2023-01-22 17:59:41,cmp_A,organic
user_90,2023-01-22 10:21:33,cmp_A,paid
user_169,2023-01-25 20:18:34,cmp_A,paid
user_78,2023-01-01 14:13:06,cmp_A,paid
user_47,2023-01-02 08:07:58,cmp_B,paid
user_73,2023-01-13 03:10:49,cmp_A,referral
user_12,2023-01-06 06:36:20,cmp_A,organic
user_170,2023-01-24 16:59:47,cmp_A,referral
user_191,2023-01-09 21:34:45,cmp_A,paid
user_18,2023-01-13 03:04:13,cmp_A,paid
user_32,2023-01-13 07:44:31,cmp_B,paid
user_86,2023-01-01 19:18:48,cmp_B,referral
user_102,2023-01-17 05:05:43,cmp_B,organic
user_179,2023-01-18 03:39:15,cmp_A,organic
user_37,2023-01-23 10:47:05,cmp_A,referral
user_2,2023-01-16 03:50:41,cmp_A,organic
user_55,2023-01-14 05:25:40,cmp_A,organic
user_5,2023-01-26 07:07:34,cmp_B,referral
user_76,2023-01-04 06:35:09,cmp_A,paid
user_127,2023-01-14 18:21:09,cmp_A,referral
user_114,2023-01-21 15:59:40,cmp_A,referral
user_113,2023-01-11 12:52:13,cmp_A,paid
user_58,2023-01-12 08:41:13,cmp_B,organic
user_151,2023-01-26 05:04:30,cmp_B,organic
user_116,2023-01-26 07:42:57,cmp_B,paid
user_75,2023-01-14 19:51:38,cmp_A,organic
user_44,2023-01-03 12:40:52,cmp_B,referral
user_172,2023-01-12 15:36:15,cmp_A,paid
user_180,2023-01-27 17:58:50,cmp_A,referral
user_193,2023-01-01 19:13:55,cmp_B,paid
user_42,2023-01-21 00:20:19,cmp_A,organic
user_184,2023-01-20 11:34:11,cmp_A,organic
user_136,2023-01-07 07:18:13,cmp_B,organic
user_11,2023-01-20 17:40:15,cmp_A,referral
user_10,2023-01-25 19:45:04,cmp_B,paid
user_168,2023-01-14 15:47:49,cmp_B,paid
user_48,2023-01-09 19:47:16,cmp_B,referral
user_158,2023-01-14 19:36:22,cmp_A,referral
user_80,2023-01-13 02:59:08,cmp_B,organic
user_25,2023-01-26 01:39:35,cmp_A,paid
user_46,2023-01-24 06:45:23,cmp_B,organic
user_126,2023-01-21 15:11:36,cmp_A,paid
user_161,2023-01-30 13:51:15,cmp_A,paid
user_19,2023-01-11 07:16:55,cmp_B,organic
user_31,2023-01-10 05:18:22,cmp_B,organic
user_57,2023-01-05 07:01:56,cmp_A,organic
user_71,2023-01-05 13:06:08,cmp_B,referral
user_200,2023-01-10 15:25:27,cmp_B,paid
user_97,2023-01-18 14:58:30,cmp_A,paid
user_132,2023-01-10 00:54:03,cmp_B,organic
user_181,2023-01-02 03:53:34,cmp_A,organic
user_93,2023-01-08 18:16:55,cmp_B,referral
user_28,2023-01-24 21:28:53,cmp_A,organic
user_177,2023-01-19 19:33:34,cmp_A,organic
user_34,2023-01-24 13:34:24,cmp_B,paid
user_112,2023-01-26 00:43:01,cmp_A,referral
user_89,2023-01-10 05:34:42,cmp_B,referral
user_21,2023-01-30 20:11:15,cmp_B,referral
user_107,2023-01-02 16:21:00,cmp_B,referral
user_140,2023-01-01 23:42:56,cmp_A,paid
user_17,2023-01-23 22:50:52,cmp_A,organic
user_52,2023-01-23 01:21:57,cmp_B,paid
user_175,2023-01-06 08:14:21,cmp_A,organic
user_30,2023-01-12 01:53:12,cmp_A,paid
user_98,2023-01-07 18:28:12,cmp_A,paid
user_120,2023-01-30 23:18:50,cmp_B,referral
user_134,2023-01-19 18:31:40,cmp_A,organic
